date,GMSL variation with respect to 20 year TOPEX/Jason Collinear mean reference,standard deviation of GSML,8 smoothed ,GMSL variation,standard deviation,smoothed 60 day,60 smoothed 
1993.011526,-37.24,92.66,-37.02,-37.24,92.66,-37.02,-37.52
1993.038692,-40.35,95.39,-38.2,-40.34,95.39,-38.19,-38.05
1993.065858,-40.17,92.29,-38.28,-40.16,92.29,-38.27,-37.61
1993.093025,-41.92,96.2,-38.56,-41.89,96.19,-38.54,-37.49
1993.120191,-36.89,94.64,-37.87,-36.85,94.63,-37.83,-36.48
1993.147357,-35.69,93.22,-36.96,-35.65,93.21,-36.93,-35.37
1993.174523,-36.09,91.67,-36.14,-36.05,91.67,-36.09,-34.35
1993.201689,-34.7,91.95,-35.53,-34.65,91.94,-35.48,-33.57
1993.228855,-34.04,91.7,-35.18,-33.98,91.68,-35.12,-33.02
1993.256021,-37.95,101.31,-35.09,-37.88,101.29,-35.02,-32.68
1993.283188,-36.48,89.84,-35.23,-36.41,89.83,-35.16,-32.53
1993.310354,-33.09,89.52,-35.6,-33,89.5,-35.51,-32.54
1993.33752,-35.11,88.88,-36.12,-35.01,88.86,-36.02,-32.7
1993.364686,-37.76,88.73,-36.52,-37.66,88.71,-36.42,-32.76
1993.391852,-39,89.03,-36.94,-38.9,89.01,-36.84,-32.91
1993.419018,-38.36,88.65,-36.8,-38.25,88.62,-36.69,-32.59
1993.446185,-35.35,89.34,-36.71,-35.22,89.32,-36.59,-32.48
1993.473351,-35.44,88.12,-36.43,-35.31,88.09,-36.3,-32.38
1993.500517,-36.07,86.35,-36.21,-35.93,86.33,-36.07,-32.55
1993.527683,-37.01,88.23,-35.94,-36.86,88.22,-35.79,-32.89
1993.554849,-29.54,93.85,-35.4,-29.4,93.84,-35.25,-33.17
1993.582015,-36.06,91.11,-34.5,-35.9,91.1,-34.34,-33.26
1993.609181,-35.26,91.93,-33.42,-35.1,91.92,-33.25,-33.28
1993.636348,-30.75,91.55,-32.39,-30.58,91.55,-32.22,-33.41
1993.663514,-29.66,90.96,-31.49,-29.48,90.97,-31.31,-33.64
1993.69068,-31.15,88.24,-30.72,-30.97,88.25,-30.53,-33.91
